query_id,query_text,query_class,query_subtype,fact_id,fact_text,gold_relevant,hard_negative_labels,RAW_SCORE,LOGIT_SCORE,rank_within_query
CQ01,Who works on Project Helix?,answerable,narrow,CF01,Mira works on Project Helix.,True,,0.9830165505409241,,1
CQ01,Who works on Project Helix?,answerable,narrow,CF02,Project Helix uses Go.,False,HN1,0.007717416621744633,,7
CQ01,Who works on Project Helix?,answerable,narrow,CF03,Project Helix depends on Redis.,False,HN1,0.4250449538230896,,3
CQ01,Who works on Project Helix?,answerable,narrow,CF04,Project Helix is owned by Apex Labs.,False,HN1,0.49815940856933594,,2
CQ01,Who works on Project Helix?,answerable,narrow,CF05,Project Helix is deployed in Frankfurt.,False,,0.02378675527870655,,4
CQ01,Who works on Project Helix?,answerable,narrow,CF06,Jonas works on Project Cascade.,False,HN2,0.006061272695660591,,9
CQ01,Who works on Project Helix?,answerable,narrow,CF07,Project Cascade uses TypeScript.,False,,2.4631242922623642e-05,,27
CQ01,Who works on Project Helix?,answerable,narrow,CF08,Project Cascade depends on Kafka.,False,,0.00013855563884135336,,17
CQ01,Who works on Project Helix?,answerable,narrow,CF09,Project Cascade is owned by Northwind Systems.,False,,5.292330388328992e-05,,19
CQ01,Who works on Project Helix?,answerable,narrow,CF10,Project Cascade has status beta.,False,,3.011406442965381e-05,,23
CQ01,Who works on Project Helix?,answerable,narrow,CF11,Elena works on Project Prism.,False,HN2,0.0028355764225125313,,12
CQ01,Who works on Project Helix?,answerable,narrow,CF12,Project Prism uses Kotlin.,False,,4.088892455911264e-05,,21
CQ01,Who works on Project Helix?,answerable,narrow,CF13,Project Prism depends on Grafana.,False,,0.00012726383283734322,,18
CQ01,Who works on Project Helix?,answerable,narrow,CF14,Project Prism currently uses Go for the API layer.,False,,2.793432940961793e-05,,25
CQ01,Who works on Project Helix?,answerable,narrow,CF15,Project Prism previously used Python for the API layer.,False,,2.3111115297069773e-05,,28
CQ01,Who works on Project Helix?,answerable,narrow,CF16,Theo works on Project Quasar.,False,HN2,0.0031299281399697065,,11
