query_id,query_text,query_class,query_subtype,fact_id,fact_text,gold_relevant,hard_negative_labels,RAW_SCORE,LOGIT_SCORE,rank_within_query
Q1,Who works on Project Orion?,answerable,anchor,F1,Alice works on Project Orion.,True,,0.9741688370704651,,1
Q1,Who works on Project Orion?,answerable,anchor,F2,Project Orion uses Python.,False,,0.03027625009417534,,2
Q1,Who works on Project Orion?,answerable,anchor,F3,Bob works on Project Nova.,False,,0.0073229726403951645,,3
Q1,Who works on Project Orion?,answerable,anchor,F4,Project Nova uses Rust.,False,,2.0570820197463036e-05,,4
Q2,What language does Project Orion use?,answerable,anchor,F1,Alice works on Project Orion.,False,,0.0025138286873698235,,3
Q2,What language does Project Orion use?,answerable,anchor,F2,Project Orion uses Python.,True,,0.9972037076950073,,1
Q2,What language does Project Orion use?,answerable,anchor,F3,Bob works on Project Nova.,False,,1.7932947230292484e-05,,4
Q2,What language does Project Orion use?,answerable,anchor,F4,Project Nova uses Rust.,False,,0.013467635959386826,,2
Q3,What is related to Project Nova?,answerable,anchor,F1,Alice works on Project Orion.,False,,2.03070230782032e-05,,4
Q3,What is related to Project Nova?,answerable,anchor,F2,Project Orion uses Python.,False,,2.0758210666826926e-05,,3
Q3,What is related to Project Nova?,answerable,anchor,F3,Bob works on Project Nova.,True,,0.049960434436798096,,1
Q3,What is related to Project Nova?,answerable,anchor,F4,Project Nova uses Rust.,True,,0.03224395960569382,,2
Q4,Who works on Project Zephyr?,answerable,anchor,F1,Alice works on Project Orion.,False,,0.007880358956754208,,1
Q4,Who works on Project Zephyr?,answerable,anchor,F2,Project Orion uses Python.,False,,2.956380194518715e-05,,3
Q4,Who works on Project Zephyr?,answerable,anchor,F3,Bob works on Project Nova.,False,,0.005133460741490126,,2
Q4,Who works on Project Zephyr?,answerable,anchor,F4,Project Nova uses Rust.,False,,1.866598177002743e-05,,4
Q5,Does Alice use Python?,answerable,anchor,F1,Alice works on Project Orion.,False,,0.02313617803156376,,1
Q5,Does Alice use Python?,answerable,anchor,F2,Project Orion uses Python.,False,,0.005334360525012016,,2
Q5,Does Alice use Python?,answerable,anchor,F3,Bob works on Project Nova.,False,,1.647881799726747e-05,,4
Q5,Does Alice use Python?,answerable,anchor,F4,Project Nova uses Rust.,False,,0.0001265511818928644,,3
